"","X","Team1","Team2","match_date","Season_Year","Season_Winner","Venue_Home_Team","City_Name","Country_Name","Toss_Winner","match_winner"
"321",321,"Delhi Daredevils","Chennai Super Kings","5/25/2012",2012,"Kolkata Knight Riders","Chennai Super Kings","Chennai","India","Delhi Daredevils","Chennai Super Kings"
"322",322,"Kolkata Knight Riders","Chennai Super Kings","5/27/2012",2012,"Kolkata Knight Riders","Chennai Super Kings","Chennai","India","Chennai Super Kings","Kolkata Knight Riders"
"323",323,"Kolkata Knight Riders","Delhi Daredevils","4/3/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"324",324,"Royal Challengers Bangalore","Mumbai Indians","4/4/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Mumbai Indians","Royal Challengers Bangalore"
"325",325,"Sunrisers Hyderabad","Pune Warriors","4/5/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Pune Warriors","Sunrisers Hyderabad"
"326",326,"Delhi Daredevils","Rajasthan Royals","4/6/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Rajasthan Royals","Rajasthan Royals"
"327",327,"Chennai Super Kings","Mumbai Indians","4/6/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Mumbai Indians","Mumbai Indians"
"328",328,"Pune Warriors","Kings XI Punjab","4/7/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Pune Warriors","Kings XI Punjab"
"329",329,"Sunrisers Hyderabad","Royal Challengers Bangalore","4/7/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Royal Challengers Bangalore","Sunrisers Hyderabad"
"330",330,"Rajasthan Royals","Kolkata Knight Riders","4/8/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Kolkata Knight Riders","Rajasthan Royals"
"331",331,"Mumbai Indians","Delhi Daredevils","4/9/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"332",332,"Kings XI Punjab","Chennai Super Kings","4/10/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Chennai Super Kings","Chennai Super Kings"
"333",333,"Royal Challengers Bangalore","Kolkata Knight Riders","4/11/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"334",334,"Pune Warriors","Rajasthan Royals","4/11/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Rajasthan Royals","Pune Warriors"
"335",335,"Delhi Daredevils","Sunrisers Hyderabad","4/12/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Sunrisers Hyderabad"
"336",336,"Mumbai Indians","Pune Warriors","4/13/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"337",337,"Chennai Super Kings","Royal Challengers Bangalore","4/13/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Chennai Super Kings","Chennai Super Kings"
"338",338,"Kolkata Knight Riders","Sunrisers Hyderabad","4/14/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"339",339,"Rajasthan Royals","Kings XI Punjab","4/14/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"340",340,"Chennai Super Kings","Pune Warriors","4/15/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Pune Warriors","Pune Warriors"
"341",341,"Kings XI Punjab","Kolkata Knight Riders","4/16/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Kolkata Knight Riders","Kings XI Punjab"
"342",342,"Royal Challengers Bangalore","Delhi Daredevils","4/16/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"343",343,"Pune Warriors","Sunrisers Hyderabad","4/17/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Pune Warriors","Sunrisers Hyderabad"
"344",344,"Rajasthan Royals","Mumbai Indians","4/17/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"345",345,"Delhi Daredevils","Chennai Super Kings","4/18/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Chennai Super Kings","Chennai Super Kings"
"346",346,"Sunrisers Hyderabad","Kings XI Punjab","4/19/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Kings XI Punjab","Sunrisers Hyderabad"
"347",347,"Kolkata Knight Riders","Chennai Super Kings","4/20/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Chennai Super Kings"
"348",348,"Royal Challengers Bangalore","Rajasthan Royals","4/20/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"349",349,"Delhi Daredevils","Mumbai Indians","4/21/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Mumbai Indians","Delhi Daredevils"
"350",350,"Kings XI Punjab","Pune Warriors","4/21/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Kings XI Punjab"
"351",351,"Chennai Super Kings","Rajasthan Royals","4/22/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Rajasthan Royals","Chennai Super Kings"
"352",352,"Royal Challengers Bangalore","Pune Warriors","4/23/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Pune Warriors","Royal Challengers Bangalore"
"353",353,"Kings XI Punjab","Delhi Daredevils","5/16/2013",2013,"Mumbai Indians","Kings XI Punjab","Dharamsala","India","Delhi Daredevils","Kings XI Punjab"
"354",354,"Kolkata Knight Riders","Mumbai Indians","4/24/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Mumbai Indians"
"355",355,"Chennai Super Kings","Sunrisers Hyderabad","4/25/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Sunrisers Hyderabad","Chennai Super Kings"
"356",356,"Kolkata Knight Riders","Kings XI Punjab","4/26/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Kings XI Punjab","Kolkata Knight Riders"
"357",357,"Rajasthan Royals","Sunrisers Hyderabad","4/27/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Sunrisers Hyderabad","Rajasthan Royals"
"358",358,"Mumbai Indians","Royal Challengers Bangalore","4/27/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"359",359,"Chennai Super Kings","Kolkata Knight Riders","4/28/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Kolkata Knight Riders","Chennai Super Kings"
"360",360,"Delhi Daredevils","Pune Warriors","4/28/2013",2013,"Mumbai Indians","Delhi Daredevils","Raipur","India","Pune Warriors","Delhi Daredevils"
"361",361,"Rajasthan Royals","Royal Challengers Bangalore","4/29/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"362",362,"Mumbai Indians","Kings XI Punjab","4/29/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"363",363,"Pune Warriors","Chennai Super Kings","4/30/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Chennai Super Kings","Chennai Super Kings"
"364",364,"Sunrisers Hyderabad","Mumbai Indians","5/1/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Mumbai Indians","Sunrisers Hyderabad"
"365",365,"Delhi Daredevils","Kolkata Knight Riders","5/1/2013",2013,"Mumbai Indians","Delhi Daredevils","Raipur","India","Kolkata Knight Riders","Delhi Daredevils"
"366",366,"Chennai Super Kings","Kings XI Punjab","5/2/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Chennai Super Kings","Chennai Super Kings"
"367",367,"Pune Warriors","Royal Challengers Bangalore","5/2/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"368",368,"Kolkata Knight Riders","Rajasthan Royals","5/3/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Rajasthan Royals","Kolkata Knight Riders"
"369",369,"Sunrisers Hyderabad","Delhi Daredevils","5/4/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Delhi Daredevils","Sunrisers Hyderabad"
"370",370,"Royal Challengers Bangalore","Kings XI Punjab","5/14/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Kings XI Punjab","Kings XI Punjab"
"371",371,"Mumbai Indians","Chennai Super Kings","5/5/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"372",372,"Rajasthan Royals","Pune Warriors","5/5/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Pune Warriors","Rajasthan Royals"
"373",373,"Royal Challengers Bangalore","Sunrisers Hyderabad","4/9/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Sunrisers Hyderabad","Royal Challengers Bangalore"
"374",374,"Rajasthan Royals","Delhi Daredevils","5/7/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Delhi Daredevils","Rajasthan Royals"
"375",375,"Mumbai Indians","Kolkata Knight Riders","5/7/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Mumbai Indians","Mumbai Indians"
"376",376,"Sunrisers Hyderabad","Chennai Super Kings","5/8/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Sunrisers Hyderabad","Chennai Super Kings"
"377",377,"Kings XI Punjab","Rajasthan Royals","5/9/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Rajasthan Royals","Rajasthan Royals"
"378",378,"Pune Warriors","Kolkata Knight Riders","5/9/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Kolkata Knight Riders","Kolkata Knight Riders"
"379",379,"Delhi Daredevils","Royal Challengers Bangalore","5/10/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Delhi Daredevils","Royal Challengers Bangalore"
"380",380,"Pune Warriors","Mumbai Indians","5/11/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Pune Warriors","Mumbai Indians"
"381",381,"Kings XI Punjab","Sunrisers Hyderabad","5/11/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Sunrisers Hyderabad"
"382",382,"Kolkata Knight Riders","Royal Challengers Bangalore","5/12/2013",2013,"Mumbai Indians","Chennai Super Kings","Ranchi","India","Kolkata Knight Riders","Kolkata Knight Riders"
"383",383,"Rajasthan Royals","Chennai Super Kings","5/12/2013",2013,"Mumbai Indians","Rajasthan Royals","Jaipur","India","Rajasthan Royals","Rajasthan Royals"
"384",384,"Delhi Daredevils","Kings XI Punjab","4/23/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Kings XI Punjab","Kings XI Punjab"
"385",385,"Mumbai Indians","Sunrisers Hyderabad","5/13/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Sunrisers Hyderabad","Mumbai Indians"
"386",386,"Kolkata Knight Riders","Pune Warriors","5/15/2013",2013,"Mumbai Indians","Chennai Super Kings","Ranchi","India","Kolkata Knight Riders","Pune Warriors"
"387",387,"Chennai Super Kings","Delhi Daredevils","5/14/2013",2013,"Mumbai Indians","Chennai Super Kings","Chennai","India","Chennai Super Kings","Chennai Super Kings"
"388",388,"Mumbai Indians","Rajasthan Royals","5/15/2013",2013,"Mumbai Indians","Mumbai Indians","Mumbai","India","Rajasthan Royals","Mumbai Indians"
"389",389,"Kings XI Punjab","Royal Challengers Bangalore","5/6/2013",2013,"Mumbai Indians","Kings XI Punjab","Chandigarh","India","Kings XI Punjab","Kings XI Punjab"
"390",390,"Sunrisers Hyderabad","Rajasthan Royals","5/17/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Sunrisers Hyderabad","Sunrisers Hyderabad"
"391",391,"Kings XI Punjab","Mumbai Indians","5/18/2013",2013,"Mumbai Indians","Kings XI Punjab","Dharamsala","India","Mumbai Indians","Kings XI Punjab"
"392",392,"Pune Warriors","Delhi Daredevils","5/19/2013",2013,"Mumbai Indians","Pune Warriors","Pune","India","Pune Warriors","Pune Warriors"
"393",393,"Royal Challengers Bangalore","Chennai Super Kings","5/18/2013",2013,"Mumbai Indians","Royal Challengers Bangalore","Bangalore","India","Chennai Super Kings","Royal Challengers Bangalore"
"394",394,"Sunrisers Hyderabad","Kolkata Knight Riders","5/19/2013",2013,"Mumbai Indians","Sunrisers Hyderabad","Hyderabad","India","Kolkata Knight Riders","Sunrisers Hyderabad"
"395",395,"Chennai Super Kings","Mumbai Indians","5/21/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Chennai Super Kings","Chennai Super Kings"
"396",396,"Rajasthan Royals","Sunrisers Hyderabad","5/22/2013",2013,"Mumbai Indians","Delhi Daredevils","Delhi","India","Sunrisers Hyderabad","Rajasthan Royals"
"397",397,"Mumbai Indians","Rajasthan Royals","5/24/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Rajasthan Royals","Mumbai Indians"
"398",398,"Chennai Super Kings","Mumbai Indians","5/26/2013",2013,"Mumbai Indians","Kolkata Knight Riders","Kolkata","India","Mumbai Indians","Mumbai Indians"
"399",399,"Mumbai Indians","Kolkata Knight Riders","4/16/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Kolkata Knight Riders","Kolkata Knight Riders"
"400",400,"Delhi Daredevils","Royal Challengers Bangalore","4/17/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Royal Challengers Bangalore","Royal Challengers Bangalore"
"401",401,"Chennai Super Kings","Kings XI Punjab","4/18/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Chennai Super Kings","Kings XI Punjab"
"402",402,"Sunrisers Hyderabad","Rajasthan Royals","4/18/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Rajasthan Royals","Rajasthan Royals"
"403",403,"Royal Challengers Bangalore","Mumbai Indians","4/19/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Royal Challengers Bangalore","Royal Challengers Bangalore"
"404",404,"Kolkata Knight Riders","Delhi Daredevils","4/19/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Kolkata Knight Riders","Delhi Daredevils"
"405",405,"Rajasthan Royals","Kings XI Punjab","4/20/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Kings XI Punjab","Kings XI Punjab"
"406",406,"Chennai Super Kings","Delhi Daredevils","4/21/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Chennai Super Kings","Chennai Super Kings"
"407",407,"Kings XI Punjab","Sunrisers Hyderabad","4/22/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Sunrisers Hyderabad","Kings XI Punjab"
"408",408,"Rajasthan Royals","Chennai Super Kings","4/23/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Rajasthan Royals","Chennai Super Kings"
"409",409,"Royal Challengers Bangalore","Kolkata Knight Riders","4/24/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Royal Challengers Bangalore","Kolkata Knight Riders"
"410",410,"Sunrisers Hyderabad","Delhi Daredevils","4/25/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Sunrisers Hyderabad","Sunrisers Hyderabad"
"411",411,"Chennai Super Kings","Mumbai Indians","4/25/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Mumbai Indians","Chennai Super Kings"
"412",412,"Rajasthan Royals","Royal Challengers Bangalore","4/26/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Rajasthan Royals","Rajasthan Royals"
"413",413,"Kolkata Knight Riders","Kings XI Punjab","4/26/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Kolkata Knight Riders","Kings XI Punjab"
"414",414,"Delhi Daredevils","Mumbai Indians","4/27/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Mumbai Indians","Delhi Daredevils"
"415",415,"Sunrisers Hyderabad","Chennai Super Kings","4/27/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Sunrisers Hyderabad","Chennai Super Kings"
"416",416,"Kings XI Punjab","Royal Challengers Bangalore","4/28/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Kings XI Punjab","Kings XI Punjab"
"417",417,"Kolkata Knight Riders","Rajasthan Royals","4/29/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Rajasthan Royals","Rajasthan Royals"
"418",418,"Mumbai Indians","Sunrisers Hyderabad","4/30/2014",2014,"Kolkata Knight Riders","Other","Abu Dhabi","U.A.E","Mumbai Indians","Sunrisers Hyderabad"
"419",419,"Chennai Super Kings","Kolkata Knight Riders","5/2/2014",2014,"Kolkata Knight Riders","Chennai Super Kings","Ranchi","India","Chennai Super Kings","Chennai Super Kings"
"420",420,"Mumbai Indians","Kings XI Punjab","5/3/2014",2014,"Kolkata Knight Riders","Mumbai Indians","Mumbai","India","Kings XI Punjab","Mumbai Indians"
"421",421,"Delhi Daredevils","Rajasthan Royals","5/3/2014",2014,"Kolkata Knight Riders","Delhi Daredevils","Delhi","India","Rajasthan Royals","Rajasthan Royals"
"422",422,"Royal Challengers Bangalore","Sunrisers Hyderabad","5/4/2014",2014,"Kolkata Knight Riders","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Royal Challengers Bangalore"
"423",423,"Rajasthan Royals","Kolkata Knight Riders","5/5/2014",2014,"Kolkata Knight Riders","Rajasthan Royals","Ahmedabad","India","Kolkata Knight Riders","Rajasthan Royals"
"424",424,"Delhi Daredevils","Chennai Super Kings","5/5/2014",2014,"Kolkata Knight Riders","Delhi Daredevils","Delhi","India","Chennai Super Kings","Chennai Super Kings"
"425",425,"Mumbai Indians","Royal Challengers Bangalore","5/6/2014",2014,"Kolkata Knight Riders","Mumbai Indians","Mumbai","India","Royal Challengers Bangalore","Mumbai Indians"
"426",426,"Delhi Daredevils","Kolkata Knight Riders","5/7/2014",2014,"Kolkata Knight Riders","Delhi Daredevils","Delhi","India","Delhi Daredevils","Kolkata Knight Riders"
"427",427,"Kings XI Punjab","Chennai Super Kings","5/7/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Cuttack","India","Chennai Super Kings","Kings XI Punjab"
"428",428,"Rajasthan Royals","Sunrisers Hyderabad","5/8/2014",2014,"Kolkata Knight Riders","Rajasthan Royals","Ahmedabad","India","Rajasthan Royals","Sunrisers Hyderabad"
"429",429,"Royal Challengers Bangalore","Kings XI Punjab","5/9/2014",2014,"Kolkata Knight Riders","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Kings XI Punjab"
"430",430,"Delhi Daredevils","Sunrisers Hyderabad","5/10/2014",2014,"Kolkata Knight Riders","Delhi Daredevils","Delhi","India","Sunrisers Hyderabad","Sunrisers Hyderabad"
"431",431,"Mumbai Indians","Chennai Super Kings","5/10/2014",2014,"Kolkata Knight Riders","Mumbai Indians","Mumbai","India","Chennai Super Kings","Chennai Super Kings"
"432",432,"Kings XI Punjab","Kolkata Knight Riders","5/11/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Cuttack","India","Kolkata Knight Riders","Kolkata Knight Riders"
"433",433,"Royal Challengers Bangalore","Rajasthan Royals","5/11/2014",2014,"Kolkata Knight Riders","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Rajasthan Royals"
"434",434,"Sunrisers Hyderabad","Mumbai Indians","5/12/2014",2014,"Kolkata Knight Riders","Sunrisers Hyderabad","Hyderabad","India","Sunrisers Hyderabad","Mumbai Indians"
"435",435,"Chennai Super Kings","Rajasthan Royals","5/13/2014",2014,"Kolkata Knight Riders","Chennai Super Kings","Ranchi","India","Rajasthan Royals","Chennai Super Kings"
"436",436,"Royal Challengers Bangalore","Delhi Daredevils","5/13/2014",2014,"Kolkata Knight Riders","Royal Challengers Bangalore","Bangalore","India","Delhi Daredevils","Royal Challengers Bangalore"
"437",437,"Sunrisers Hyderabad","Kings XI Punjab","5/14/2014",2014,"Kolkata Knight Riders","Sunrisers Hyderabad","Hyderabad","India","Kings XI Punjab","Kings XI Punjab"
"438",438,"Kolkata Knight Riders","Mumbai Indians","5/14/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Cuttack","India","Kolkata Knight Riders","Kolkata Knight Riders"
"439",439,"Rajasthan Royals","Delhi Daredevils","5/15/2014",2014,"Kolkata Knight Riders","Rajasthan Royals","Ahmedabad","India","Delhi Daredevils","Rajasthan Royals"
"440",440,"Chennai Super Kings","Royal Challengers Bangalore","5/18/2014",2014,"Kolkata Knight Riders","Chennai Super Kings","Ranchi","India","Chennai Super Kings","Royal Challengers Bangalore"
"441",441,"Sunrisers Hyderabad","Kolkata Knight Riders","5/18/2014",2014,"Kolkata Knight Riders","Sunrisers Hyderabad","Hyderabad","India","Sunrisers Hyderabad","Kolkata Knight Riders"
"442",442,"Rajasthan Royals","Mumbai Indians","5/19/2014",2014,"Kolkata Knight Riders","Rajasthan Royals","Ahmedabad","India","Mumbai Indians","Mumbai Indians"
"443",443,"Delhi Daredevils","Kings XI Punjab","5/19/2014",2014,"Kolkata Knight Riders","Delhi Daredevils","Delhi","India","Kings XI Punjab","Kings XI Punjab"
"444",444,"Sunrisers Hyderabad","Royal Challengers Bangalore","5/20/2014",2014,"Kolkata Knight Riders","Sunrisers Hyderabad","Hyderabad","India","Royal Challengers Bangalore","Sunrisers Hyderabad"
"445",445,"Kolkata Knight Riders","Chennai Super Kings","5/20/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
"446",446,"Kings XI Punjab","Mumbai Indians","5/21/2014",2014,"Kolkata Knight Riders","Kings XI Punjab","Chandigarh","India","Mumbai Indians","Mumbai Indians"
"447",447,"Kolkata Knight Riders","Royal Challengers Bangalore","5/22/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Kolkata","India","Royal Challengers Bangalore","Kolkata Knight Riders"
"448",448,"Chennai Super Kings","Sunrisers Hyderabad","5/22/2014",2014,"Kolkata Knight Riders","Chennai Super Kings","Ranchi","India","Sunrisers Hyderabad","Sunrisers Hyderabad"
"449",449,"Mumbai Indians","Delhi Daredevils","5/23/2014",2014,"Kolkata Knight Riders","Mumbai Indians","Mumbai","India","Delhi Daredevils","Mumbai Indians"
"450",450,"Kings XI Punjab","Rajasthan Royals","5/23/2014",2014,"Kolkata Knight Riders","Kings XI Punjab","Chandigarh","India","Rajasthan Royals","Kings XI Punjab"
"451",451,"Royal Challengers Bangalore","Chennai Super Kings","5/24/2014",2014,"Kolkata Knight Riders","Royal Challengers Bangalore","Bangalore","India","Chennai Super Kings","Chennai Super Kings"
"452",452,"Kolkata Knight Riders","Sunrisers Hyderabad","5/24/2014",2014,"Kolkata Knight Riders","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Kolkata Knight Riders"
